"NYC_extract.DBA";"NYC_extract.TripAdvisor.URL";"NYC_extract.INSPECTION.DATE";"NYC_extract.VIOLATION.DESCRIPTION";"NYC_extract.SCORE";"NYC_extract.GRADE"
"282089";"EMPIRE STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d6001501-Reviews-Empire_Steak_House-New_York_City_New_York.html";"07/24/2019";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";11;"A"
"282117";"POMODORO RISTORANTE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d459077-Reviews-Pomodoro-New_York_City_New_York.html";"07/24/2019";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";10;""
"282165";"FAMOUS FAMIGLIA PIZZERIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d5494562-Reviews-Famous_Famiglia-New_York_City_New_York.html";"07/24/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";2;"A"
"282196";"EMPIRE STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d6001501-Reviews-Empire_Steak_House-New_York_City_New_York.html";"07/24/2019";"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.";11;"A"
"282212";"LITTLE ITALY PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d9804770-Reviews-Little_Italy_Pizza-New_York_City_New_York.html";"07/24/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";13;"A"
"282251";"A SLICE OF NEW YORK";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1459433-Reviews-A_Slice_of_New_York-New_York_City_New_York.html";"07/24/2019";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";72;""
"282326";"LITTLE ITALY PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d9804770-Reviews-Little_Italy_Pizza-New_York_City_New_York.html";"07/24/2019";"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.";27;""
"282436";"EMPIRE STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d6001501-Reviews-Empire_Steak_House-New_York_City_New_York.html";"07/24/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";11;"A"
"282439";"A SLICE OF NEW YORK";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1459433-Reviews-A_Slice_of_New_York-New_York_City_New_York.html";"07/24/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";72;""
"282565";"KISS MY SLICE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7806431-Reviews-Kiss_My_Slice-New_York_City_New_York.html";"07/24/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";3;"A"
"282573";"A SLICE OF NEW YORK";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1459433-Reviews-A_Slice_of_New_York-New_York_City_New_York.html";"07/24/2019";"Hot food item not held at or above 140Âº F.";72;""
"282585";"A SLICE OF NEW YORK";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1459433-Reviews-A_Slice_of_New_York-New_York_City_New_York.html";"07/24/2019";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";72;""
"282604";"A SLICE OF NEW YORK";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1459433-Reviews-A_Slice_of_New_York-New_York_City_New_York.html";"07/24/2019";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";72;""
"282608";"LITTLE ITALY PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d9804770-Reviews-Little_Italy_Pizza-New_York_City_New_York.html";"07/24/2019";"Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.";13;"A"
"282717";"A SLICE OF NEW YORK";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1459433-Reviews-A_Slice_of_New_York-New_York_City_New_York.html";"07/24/2019";"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.";72;""
"282719";"UNCLE JACK'S STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d477300-Reviews-Uncle_Jack_s_Steakhouse_Westside-New_York_City_New_York.html";"07/25/2016";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";10;"A"
"282924";"J'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4432818-Reviews-J_s_Pizza-New_York_City_New_York.html";"07/25/2016";"Food prepared from ingredients at ambient temperature not cooled to 41Âº F or below within 4 hours.";13;"A"
"283038";"UNCLE JACK'S STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d477300-Reviews-Uncle_Jack_s_Steakhouse_Westside-New_York_City_New_York.html";"07/25/2016";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";10;"A"
"283169";"UNCLE JACK'S STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d477300-Reviews-Uncle_Jack_s_Steakhouse_Westside-New_York_City_New_York.html";"07/25/2016";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";10;"A"
"283211";"J'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4432818-Reviews-J_s_Pizza-New_York_City_New_York.html";"07/25/2016";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";13;"A"
"283235";"DEL FRISCO'S STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d457151-Reviews-Del_Frisco_s_Double_Eagle_Steakhouse-New_York_City_New_York.html";"07/25/2017";"Hot food item not held at or above 140Âº F.";13;"A"
"283547";"T-BAR STEAK & LOUNGE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1239725-Reviews-TBar-New_York_City_New_York.html";"07/25/2017";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";12;"A"
"283578";"T-BAR STEAK & LOUNGE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1239725-Reviews-TBar-New_York_City_New_York.html";"07/25/2017";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";12;"A"
"283581";"CHARLIE'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4955671-Reviews-Charlie_s_Pizza-New_York_City_New_York.html";"07/25/2017";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";3;"A"
"283628";"DEL FRISCO'S STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d457151-Reviews-Del_Frisco_s_Double_Eagle_Steakhouse-New_York_City_New_York.html";"07/25/2017";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";13;"A"
"283629";"PIZZA PETE'S";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4941278-Reviews-Pizza_Pete_s-New_York_City_New_York.html";"07/25/2018";"Evidence of mice or live mice present in facility's food and/or non-food areas.";23;"B"
"283709";"SAL AND CARMINE PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d457147-Reviews-Sal_and_Carmine_Pizza-New_York_City_New_York.html";"07/25/2018";"Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.";29;""
"283775";"PIZZA PETE'S";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4955671-Reviews-Charlie_s_Pizza-New_York_City_New_York.html";"07/25/2018";"Live roaches present in facility's food and/or non-food areas.";23;"B"
"283778";"SAL AND CARMINE PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d457147-Reviews-Sal_and_Carmine_Pizza-New_York_City_New_York.html";"07/25/2018";"Hot food item not held at or above 140Âº F.";29;""
"283795";"PIZZA PETE'S";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4955671-Reviews-Charlie_s_Pizza-New_York_City_New_York.html";"07/25/2018";"Hot food item not held at or above 140Âº F.";23;"B"
"283806";"PIZZA PETE'S";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4955671-Reviews-Charlie_s_Pizza-New_York_City_New_York.html";"07/25/2018";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";23;"B"
"283879";"JUMBO PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d15168315-Reviews-Jumbo_s_Pizza_Coffee_Shop-New_York_City_New_York.html";"07/25/2018";"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.";13;"A"
"283890";"PIZZA PETE'S";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4955671-Reviews-Charlie_s_Pizza-New_York_City_New_York.html";"07/25/2018";"Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.";23;"B"
"283920";"SAL AND CARMINE PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d457147-Reviews-Sal_and_Carmine_Pizza-New_York_City_New_York.html";"07/25/2018";"Evidence of mice or live mice present in facility's food and/or non-food areas.";29;""
"283963";"SAL AND CARMINE PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d457147-Reviews-Sal_and_Carmine_Pizza-New_York_City_New_York.html";"07/25/2018";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";29;""
"283965";"JUMBO PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d15168315-Reviews-Jumbo_s_Pizza_Coffee_Shop-New_York_City_New_York.html";"07/25/2018";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";13;"A"
"283966";"SAL AND CARMINE PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d457147-Reviews-Sal_and_Carmine_Pizza-New_York_City_New_York.html";"07/25/2018";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";29;""
"283972";"JUMBO PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d15168315-Reviews-Jumbo_s_Pizza_Coffee_Shop-New_York_City_New_York.html";"07/25/2018";"Evidence of mice or live mice present in facility's food and/or non-food areas.";13;"A"
"284033";"KEENS STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d425330-Reviews-Keens_Steakhouse-New_York_City_New_York.html";"07/25/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";22;""
"284071";"KEENS STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d425330-Reviews-Keens_Steakhouse-New_York_City_New_York.html";"07/25/2019";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";22;""
"284074";"KEENS STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d425330-Reviews-Keens_Steakhouse-New_York_City_New_York.html";"07/25/2019";"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.";22;""
"284115";"SLICED BY HARLEM PIZZA CO.";"https://www.tripadvisor.com/Restaurant_Review-g60763-d15173020-Reviews-Sliced_by_Harlem_Pizza_Co-New_York_City_New_York.html";"07/25/2019";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";5;"A"
"284166";"KRISPY KRUNCHY CHICKEN AND PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d21026812-Reviews-Krispy_Krunchy_Chicken-New_York_City_New_York.html";"07/25/2019";"Evidence of mice or live mice present in facility's food and/or non-food areas.";13;"A"
"284167";"KRISPY KRUNCHY CHICKEN AND PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d21026812-Reviews-Krispy_Krunchy_Chicken-New_York_City_New_York.html";"07/25/2019";"Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.";13;"A"
"284306";"SBARRO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4248827-Reviews-Sbarro-New_York_City_New_York.html";"07/25/2019";"Hot food item not held at or above 140Âº F.";9;"A"
"284324";"SBARRO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4248827-Reviews-Sbarro-New_York_City_New_York.html";"07/25/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";9;"A"
"284325";"KEENS STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d425330-Reviews-Keens_Steakhouse-New_York_City_New_York.html";"07/25/2019";"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.";22;""
"284361";"KRISPY KRUNCHY CHICKEN AND PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d21026812-Reviews-Krispy_Krunchy_Chicken-New_York_City_New_York.html";"07/25/2019";"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.";13;"A"
"284486";"KRISPY KRUNCHY CHICKEN AND PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d21026812-Reviews-Krispy_Krunchy_Chicken-New_York_City_New_York.html";"07/25/2019";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";13;"A"
"284558";"SKINNYPIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d6918411-Reviews-Skinny_Pizza-New_York_City_New_York.html";"07/26/2016";"No facilities available to wash, rinse and sanitize utensils and/or equipment.";34;""
"284577";"SKINNYPIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d6918411-Reviews-Skinny_Pizza-New_York_City_New_York.html";"07/26/2016";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";34;""
"284580";"SKINNYPIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d6918411-Reviews-Skinny_Pizza-New_York_City_New_York.html";"07/26/2016";"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.";34;""
"284668";"SKINNYPIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d6918411-Reviews-Skinny_Pizza-New_York_City_New_York.html";"07/26/2016";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";34;""
"284686";"DREAMERS PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4813243-Reviews-Dreamer_s_Pizza-New_York_City_New_York.html";"07/26/2017";"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.";25;""
"284700";"MILANO'S PIZZERIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4728394-Reviews-Milano_Pizza_Shop-New_York_City_New_York.html";"07/26/2017";"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.";12;"A"
"284770";"DREAMERS PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4813243-Reviews-Dreamer_s_Pizza-New_York_City_New_York.html";"07/26/2017";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";25;""
"284809";"DREAMERS PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4813243-Reviews-Dreamer_s_Pizza-New_York_City_New_York.html";"07/26/2017";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";25;""
"284871";"MILANO'S PIZZERIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4728394-Reviews-Milano_Pizza_Shop-New_York_City_New_York.html";"07/26/2017";"Hot food item not held at or above 140Âº F.";12;"A"
"284940";"DREAMERS PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4813243-Reviews-Dreamer_s_Pizza-New_York_City_New_York.html";"07/26/2017";"Hot food item not held at or above 140Âº F.";25;""
"285044";"GINA LA FORNARINA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7216435-Reviews-Gina_la_Fornarina-New_York_City_New_York.html";"07/26/2018";"Live roaches present in facility's food and/or non-food areas.";12;"A"
"285053";"MILANO'S PIZZERIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4728394-Reviews-Milano_Pizza_Shop-New_York_City_New_York.html";"07/26/2018";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";6;"A"
"285077";"GINA LA FORNARINA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7216435-Reviews-Gina_la_Fornarina-New_York_City_New_York.html";"07/26/2018";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";12;"A"
"285099";"MILANO'S PIZZERIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4728394-Reviews-Milano_Pizza_Shop-New_York_City_New_York.html";"07/26/2018";"Food contact surface not properly maintained.";6;"A"
"285138";"ROBERTA'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d11750492-Reviews-Roberta_s-New_York_City_New_York.html";"07/26/2018";"Evidence of mice or live mice present in facility's food and/or non-food areas.";10;"A"
"285147";"WOLFGANG'S STEAK HOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d425364-Reviews-Wolfgang_s_Steakhouse-New_York_City_New_York.html";"07/26/2018";"Single service item reused, improperly stored, dispensed; not used when required.";9;"A"
"285158";"WOLFGANG'S STEAK HOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d425364-Reviews-Wolfgang_s_Steakhouse-New_York_City_New_York.html";"07/26/2018";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";9;"A"
"285167";"MILANO'S PIZZERIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4728394-Reviews-Milano_Pizza_Shop-New_York_City_New_York.html";"07/26/2018";"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.";6;"A"
"285362";"ROBERTA'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d11750492-Reviews-Roberta_s-New_York_City_New_York.html";"07/26/2018";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";10;"A"
"285394";"MARK JOSEPH STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d482186-Reviews-MarkJoseph_Steakhouse-New_York_City_New_York.html";"07/26/2019";"Evidence of mice or live mice present in facility's food and/or non-food areas.";9;"A"
"285407";"CROCODILE LOUNGE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2480970-Reviews-Crocodile_Lounge-New_York_City_New_York.html";"07/26/2019";"Evidence of mice or live mice present in facility's food and/or non-food areas.";31;"C"
"285449";"CROCODILE LOUNGE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2480970-Reviews-Crocodile_Lounge-New_York_City_New_York.html";"07/26/2019";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";31;"C"
"285528";"CROCODILE LOUNGE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2480970-Reviews-Crocodile_Lounge-New_York_City_New_York.html";"07/26/2019";"Evidence of rats or live rats present in facility's food and/or non-food areas.";31;"C"
"285540";"PICASSO PIZZERIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3821405-Reviews-Picasso_Pizza-New_York_City_New_York.html";"07/26/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";27;""
"285563";"PICASSO PIZZERIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3821405-Reviews-Picasso_Pizza-New_York_City_New_York.html";"07/26/2019";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";27;""
"285627";"MARK JOSEPH STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d482186-Reviews-MarkJoseph_Steakhouse-New_York_City_New_York.html";"07/26/2019";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";9;"A"
"285650";"PICASSO PIZZERIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3821405-Reviews-Picasso_Pizza-New_York_City_New_York.html";"07/26/2019";"Evidence of mice or live mice present in facility's food and/or non-food areas.";27;""
"285667";"AMERICAN CUT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d5327176-Reviews-American_Cut_Steakhouse_Tribeca-New_York_City_New_York.html";"07/26/2019";"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.";9;"A"
"285675";"PICASSO PIZZERIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3821405-Reviews-Picasso_Pizza-New_York_City_New_York.html";"07/26/2019";"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.";27;""
"285680";"CROCODILE LOUNGE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2480970-Reviews-Crocodile_Lounge-New_York_City_New_York.html";"07/26/2019";"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.";31;"C"
"285714";"CROCODILE LOUNGE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2480970-Reviews-Crocodile_Lounge-New_York_City_New_York.html";"07/26/2019";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";31;"C"
"285862";"PIZZA STOP";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4990570-Reviews-Pizza_Stop-New_York_City_New_York.html";"07/26/2019";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";11;"A"
"285884";"PICASSO PIZZERIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3821405-Reviews-Picasso_Pizza-New_York_City_New_York.html";"07/26/2019";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";27;""
"285918";"CHAMPION PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d8284977-Reviews-Champion_Pizza_Ludlow-New_York_City_New_York.html";"07/26/2019";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";10;"A"
"285939";"PICASSO PIZZERIA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3821405-Reviews-Picasso_Pizza-New_York_City_New_York.html";"07/26/2019";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";27;""
"285946";"CROCODILE LOUNGE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2480970-Reviews-Crocodile_Lounge-New_York_City_New_York.html";"07/26/2019";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";31;"C"
"285952";"CHAMPION PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d8284977-Reviews-Champion_Pizza_Ludlow-New_York_City_New_York.html";"07/26/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";10;"A"
"285966";"PIZZA STOP";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4990570-Reviews-Pizza_Stop-New_York_City_New_York.html";"07/26/2019";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";11;"A"
"286037";"A SLICE OF NEW YORK";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1459433-Reviews-A_Slice_of_New_York-New_York_City_New_York.html";"07/26/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";2;"P"
"286054";"CROCODILE LOUNGE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2480970-Reviews-Crocodile_Lounge-New_York_City_New_York.html";"07/26/2019";"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.";31;"C"
"286102";"AMERICAN CUT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d5327176-Reviews-American_Cut_Steakhouse_Tribeca-New_York_City_New_York.html";"07/26/2019";"Proper sanitization not provided for utensil ware washing operation.";9;"A"
"286110";"PIZZA ROLLIO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7596842-Reviews-Pizza_Rollio-New_York_City_New_York.html";"07/27/2017";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";29;""
"286136";"PIZZA ROLLIO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7596842-Reviews-Pizza_Rollio-New_York_City_New_York.html";"07/27/2017";"Food Protection Certificate not held by supervisor of food operations.";29;""
"286144";"MASTRO'S STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7231880-Reviews-Mastro_s_Steakhouse-New_York_City_New_York.html";"07/27/2017";"Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.";32;""
"286160";"MASTRO'S STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7231880-Reviews-Mastro_s_Steakhouse-New_York_City_New_York.html";"07/27/2017";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";32;""
